Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,,,,,,1
,,,,,,
2,3,4,5,6,7,8
,WFM Tribeca 4pm-7pm,,,,Southern Seasons Chapel Hill event w sampling (no rep),
9,10,11,12,13,14,15
,,,"West Elm Broadway, 4pm-7pm (NINA)",,,Olives & Grace 12pm-3pm 
16,17,18,19,20,21,22
,,Union Market Houston 4pm-7pm,WFM Tribeca 4pm-7pm,WFM University Heights 3pm-6pm,Brooklyn Victory Garden 1:30pm-3:30pm,TFM (30 demos w Interactions) 12pm-4pm / Foragers Market Chelsea 11am-2pm
23,24,25,26,27,28,29
,WFM Chelsea 4pm-7pm ,,Union Market Houston 4pm-7pm / Di Bruno Bros. Franklin 5pm-7pm,Williams-Sonoma Boston 3pm-6pm,DiBrunos Rittenhouse 2pm-5pm,Williams-Sonoma DC 3pm-6pm
30,,,,,,
